County ID,County,Year,Children In Poverty,Children In Poverty CI High,Children In Poverty CI Low
"05000US18105","Monroe County, IN",2014,0.20200000703334808,0.24300000071525574,0.16099999845027924
"05000US18105","Monroe County, IN",2015,0.17800000309944153,0.21899999678134918,0.13699999451637268
"05000US18105","Monroe County, IN",2016,0.1899999976158142,0.23199999332427979,0.14800000190734863
"05000US18105","Monroe County, IN",2017,0.18199999630451202,0.2199999988079071,0.14399999380111694
"05000US18105","Monroe County, IN",2018,0.17599999904632568,0.21531899273395538,0.13668100535869598
"05000US18105","Monroe County, IN",2019,0.1720000058412552,0.2077450007200241,0.13625499606132507
"05000US18105","Monroe County, IN",2020,0.1420000046491623,0.18012799322605133,0.10387200117111206
"05000US18105","Monroe County, IN",2021,0.15000000596046448,0.18931899964809418,0.11068099737167358
"05000US18105","Monroe County, IN",2022,0.13699999451637268,0.17155300080776215,0.10244700312614441
"05000US18105","Monroe County, IN",2023,0.14399999380111694,0.1868939995765686,0.10110600292682648
"05000US18105","Monroe County, IN",2024,0.14000000059604645,0.185276597738266,0.0947234034538269